Record_ID,Month,Installation,Building_Number,Region,Housing_Type,Design_Category_Code,Total_Beds,Occupied_Beds,Vacant_Beds,Net_Use_Percent,Condition_Score,Open_Work_Orders,Priority_Level,Data_Quality_Flag
1052,2025-01-01,Camp Liberty,BLDG-504,CONUS,Transient Training,72116,300,272,28,90.67,85,17,Medium,Clean
1053,2025-01-01,Camp Liberty,BLDG-505,CONUS,PP Senior NCO,72113,150,126,24,84.0,97,7,Medium,Clean
1054,2025-01-01,Camp Liberty,BLDG-506,CONUS,PP Senior NCO,72113,200,169,31,84.5,84,10,Medium,Clean
1055,2025-01-01,Camp Liberty,BLDG-507,CONUS,Transient Training,72116,80,73,7,91.25,96,0,Low,Clean
1056,2025-01-01,Camp Liberty,BLDG-508,CONUS,Permanent Party Enlisted,72111,80,71,9,88.75,76,15,Low,Clean
1057,2025-01-01,Camp Liberty,BLDG-509,CONUS,Permanent Party Enlisted,72111,150,147,3,98.0,89,20,Medium,Clean
1058,2025-01-01,Camp Liberty,BLDG-510,CONUS,PP Senior NCO,72113,120,91,29,75.83,72,13,Medium,Clean
1059,2025-01-01,Camp Liberty,BLDG-511,OCONUS,PP Senior NCO,72113,150,109,41,72.67,59,26,High,Clean
1060,2025-01-01,Camp Liberty,BLDG-512,CONUS,PP Senior NCO,72113,100,70,30,70.0,89,11,Medium,Clean
1061,2025-01-01,Fort Patriot,BLDG-601,OCONUS,Permanent Party Enlisted,72111,100,63,37,63.0,70,1,High,Clean
1062,2025-01-01,Fort Patriot,BLDG-602,CONUS,Training - AIT,72115,250,142,108,56.8,68,7,High,Clean
1063,2025-01-01,Fort Patriot,BLDG-603,CONUS,PP Senior NCO,72113,80,65,15,81.25,55,13,Medium,Clean
1064,2025-01-01,Fort Patriot,BLDG-604,OCONUS,PP Senior NCO,72113,180,149,31,82.78,84,4,Medium,Clean
1065,2025-01-01,Fort Patriot,BLDG-605,CONUS,Training - Basic,72112,250,235,15,94.0,90,3,Low,Clean
1066,2025-01-01,Fort Patriot,BLDG-606,CONUS,Transient Training,72116,300,278,22,92.67,73,8,Low,Clean
1067,2025-01-01,Fort Patriot,BLDG-607,CONUS,Training - AIT,72115,80,64,16,80.0,89,9,Medium,Clean
1068,2025-01-01,Fort Patriot,BLDG-608,CONUS,Permanent Party Enlisted,72111,200,178,22,89.0,92,15,Low,Clean
1069,2025-01-01,Fort Patriot,BLDG-609,CONUS,PP Senior NCO,72113,120,105,15,87.5,87,3,Low,Clean
1070,2025-01-01,Fort Patriot,BLDG-610,CONUS,Permanent Party Enlisted,72111,120,80,40,66.67,59,13,High,Clean
1071,2025-01-01,Fort Patriot,BLDG-611,CONUS,Transient Training,72116,150,144,6,96.0,91,10,Low,Clean
1072,2025-01-01,Fort Patriot,BLDG-612,CONUS,Training - AIT,72115,80,66,14,82.5,81,15,Medium,Clean
1073,2025-01-01,Fort Eagle,BLDG-701,OCONUS,Transient Training,72116,200,143,57,71.5,68,13,Medium,Clean
1074,2025-01-01,Fort Eagle,BLDG-702,CONUS,Transient Training,72116,200,170,30,85.0,80,19,Medium,Clean
1075,2025-01-01,Fort Eagle,BLDG-703,CONUS,Training - AIT,72115,180,129,51,71.67,59,14,Medium,Clean
1076,2025-01-01,Fort Eagle,BLDG-704,CONUS,Permanent Party Enlisted,72111,300,234,66,78.0,91,12,Medium,Clean
1077,2025-01-01,Fort Eagle,BLDG-705,CONUS,Permanent Party Enlisted,72111,100,81,19,81.0,87,11,Medium,Clean
1078,2025-01-01,Fort Eagle,BLDG-706,OCONUS,Training - Basic,72112,120,64,56,53.33,59,21,High,Clean
1079,2025-01-01,Fort Eagle,BLDG-707,CONUS,Training - AIT,72115,200,142,58,71.0,83,6,Medium,Clean
1080,2025-01-01,Fort Eagle,BLDG-708,CONUS,PP Officer,72114,180,176,4,97.78,96,0,Low,Clean
1081,2025-01-01,Ft Eagle,BLDG-709,CONUS,PP Officer,72114,80,70,10,87.5,90,9,Low,Inconsistent Installation Name
1082,2025-01-01,Fort Eagle,BLDG-710,OCONUS,Training - Basic,72112,100,65,35,65.0,63,22,High,Clean
1083,2025-01-01,Fort Eagle,BLDG-711,OCONUS,Training - Basic,72112,100,98,2,98.0,90,0,Low,Clean
1084,2025-01-01,Fort Eagle,BLDG-712,CONUS,Training - AIT,72115,180,113,67,62.78,68,18,High,Clean
1085,2025-01-01,Fort Monroe,BLDG-801,CONUS,Transient Training,72116,200,155,45,77.5,95,5,Medium,Clean
1086,2025-01-01,Fort Monroe,BLDG-802,CONUS,Training - Basic,72112,300,220,80,73.33,58,20,Medium,Clean
1087,2025-01-01,Fort Monroe,BLDG-803,OCONUS,Permanent Party Enlisted,72111,250,173,77,69.2,57,17,High,Clean
1088,2025-01-01,Fort Monroe,BLDG-804,CONUS,Permanent Party Enlisted,72111,200,165,35,82.5,95,14,Medium,Clean
1089,2025-01-01,Fort Monroe,BLDG-805,CONUS,Training - Basic,72112,120,100,20,83.33,90,10,Medium,Clean
1090,2025-01-01,Fort Monroe,BLDG-806,CONUS,Transient Training,72116,250,172,78,68.8,62,16,High,Clean
1091,2025-01-01,Fort Monroe,BLDG-807,CONUS,Permanent Party Enlisted,72111,120,96,24,80.0,78,11,Medium,Clean
1092,2025-01-01,Fort Monroe,BLDG-808,CONUS,PP Officer,72114,120,74,46,61.67,57,21,High,Clean
1093,2025-01-01,Fort Monroe,BLDG-809,OCONUS,Training - Basic,72112,200,171,29,85.5,57,18,Medium,Clean
1094,2025-01-01,Fort Monroe,BLDG-810,CONUS,Training - Basic,72112,150,147,3,98.0,97,11,Low,Clean
1095,2025-01-01,Fort Monroe,BLDG-811,CONUS,Permanent Party Enlisted,72111,200,186,14,93.0,81,12,Low,Clean
1096,2025-01-01,Fort Monroe,BLDG-812,OCONUS,PP Officer,72114,120,96,24,80.0,70,18,Medium,Clean
1097,2025-02-01,Fort Adams,BLDG-101,CONUS,Transient Training,72116,100,80,20,80.0,72,8,Medium,Clean
1098,2025-02-01,Fort Adams,BLDG-102,CONUS,Training - AIT,72115,150,111,39,74.0,61,6,Medium,Clean
1099,2025-02-01,Fort Adams,BLDG-103,CONUS,Transient Training,72116,100,71,29,71.0,57,19,Medium,Clean
1100,2025-02-01,Fort Adams,BLDG-104,CONUS,Permanent Party Enlisted,72111,100,98,2,98.0,87,10,Low,Clean
1101,2025-02-01,Fort Adams,BLDG-105,CONUS,PP Officer,72114,80,78,2,97.5,96,7,Low,Clean
1102,2025-02-01,Fort Adams,BLDG-106,CONUS,Transient Training,72116,250,197,53,78.8,92,1,Medium,Clean
1103,2025-02-01,Fort Adams,BLDG-107,CONUS,Training - Basic,72112,80,53,27,66.25,65,8,High,Clean
1104,2025-02-01,Fort Adams,BLDG-108,CONUS,Transient Training,72116,250,203,47,81.2,64,14,Medium,Clean
1105,2025-02-01,Fort Adams,BLDG-109,CONUS,Training - AIT,72115,200,176,24,88.0,79,12,Low,Clean
1106,2025-02-01,Fort Adams,BLDG-110,OCONUS,Permanent Party Enlisted,72111,200,196,4,98.0,93,13,Low,Clean
1107,2025-02-01,Fort Adams,BLDG-111,CONUS,Training - Basic,72112,80,65,15,81.25,89,7,Medium,Clean
1108,2025-02-01,Fort Adams,BLDG-112,CONUS,Permanent Party Enlisted,72111,250,185,65,74.0,73,5,Medium,Clean
1109,2025-02-01,Fort Mason,BLDG-201,CONUS,Transient Training,72116,200,159,41,79.5,59,22,Medium,Clean
1110,2025-02-01,Fort Mason,BLDG-202,CONUS,Permanent Party Enlisted,72111,150,109,41,72.67,60,14,Medium,Clean
1111,2025-02-01,Fort Mason,BLDG-203,CONUS,Training - AIT,72115,100,96,4,96.0,84,0,Low,Clean
1112,2025-02-01,Fort Mason,BLDG-204,CONUS,Transient Training,72116,200,167,33,83.5,77,12,Medium,Clean
1113,2025-02-01,Fort Mason,BLDG-205,CONUS,Training - AIT,72115,180,155,25,86.11,98,13,Low,Clean
1114,2025-02-01,Fort Mason,BLDG-206,CONUS,Transient Training,72116,100,85,15,85.0,65,13,Low,Clean
1115,2025-02-01,Fort Mason,BLDG-207,CONUS,PP Officer,72114,150,122,28,81.33,79,9,Medium,Clean
1116,2025-02-01,Fort Mason,BLDG-208,CONUS,Training - Basic,72112,150,100,50,66.67,58,10,High,Clean
1117,2025-02-01,Fort Mason,BLDG-209,OCONUS,Training - AIT,72115,80,77,3,96.25,80,16,Medium,Clean
1118,2025-02-01,Fort Mason,BLDG-210,CONUS,Training - Basic,72112,100,96,4,96.0,91,3,Low,Clean
1119,2025-02-01,Fort Mason,BLDG-211,CONUS,Transient Training,72116,200,196,4,98.0,86,19,Medium,Clean
1120,2025-02-01,Fort Mason,BLDG-212,CONUS,PP Senior NCO,72113,300,229,71,76.33,63,11,Medium,Clean
1121,2025-02-01,Camp Harbor,BLDG-301,CONUS,Training - AIT,72115,180,136,44,75.56,82,13,Medium,Clean
1122,2025-02-01,Camp Harbor,BLDG-302,CONUS,PP Officer,72114,250,163,87,65.2,63,15,High,Clean
1123,2025-02-01,Camp Harbor,BLDG-303,CONUS,PP Officer,72114,300,249,51,83.0,58,9,Medium,Clean
1124,2025-02-01,Camp Harbor,BLDG-304,CONUS,Permanent Party Enlisted,72111,120,118,2,98.33,98,14,Low,Clean
1125,2025-02-01,Camp Harbor,BLDG-305,CONUS,PP Senior NCO,72113,100,77,23,77.0,93,1,Medium,Clean
1126,2025-02-01,Camp Harbor,BLDG-306,OCONUS,PP Senior NCO,72113,180,122,58,67.78,55,12,High,Clean
1127,2025-02-01,Camp Harbor,BLDG-307,CONUS,Transient Training,72116,100,85,15,85.0,89,0,Low,Clean
1128,2025-02-01,Camp Harbor,BLDG-308,CONUS,Training - Basic,72112,200,163,37,81.5,82,20,Medium,Clean
1129,2025-02-01,Camp Harbor,BLDG-309,CONUS,Training - AIT,72115,300,202,98,67.33,71,12,High,Clean
1130,2025-02-01,Camp Harbor,BLDG-310,CONUS,PP Officer,72114,120,70,50,58.33,61,19,High,Clean
1131,2025-02-01,Camp Harbor,BLDG-311,OCONUS,Transient Training,72116,180,152,28,84.44,87,19,Medium,Clean
1132,2025-02-01,Camp Harbor,BLDG-312,CONUS,PP Officer,72114,150,116,34,77.33,65,13,Medium,Clean
1133,2025-02-01,Fort Sentinel,BLDG-401,CONUS,PP Officer,72114,80,73,7,91.25,86,7,Low,Clean
1134,2025-02-01,Fort Sentinel,BLDG-402,OCONUS,Permanent Party Enlisted,72111,100,67,33,67.0,74,14,High,Clean
1135,2025-02-01,Fort Sentinel,BLDG-403,CONUS,Training - AIT,72115,80,69,11,86.25,91,9,Low,Clean
1136,2025-02-01,Fort Sentinel,BLDG-404,CONUS,Permanent Party Enlisted,72111,100,76,24,76.0,59,14,Medium,Clean
1137,2025-02-01,Fort Sentinel,BLDG-405,CONUS,PP Officer,72114,120,108,12,90.0,85,18,Medium,Clean
1138,2025-02-01,Fort Sentinel,BLDG-406,CONUS,PP Officer,72114,120,94,26,78.33,93,16,Medium,Clean
1139,2025-02-01,Fort Sentinel,BLDG-407,OCONUS,PP Senior NCO,72113,150,111,39,74.0,67,10,Medium,Clean
1140,2025-02-01,Fort Sentinel,BLDG-408,CONUS,Transient Training,72116,180,176,4,97.78,97,8,Low,Clean
1141,2025-02-01,Fort Sentinel,BLDG-409,CONUS,Transient Training,72116,200,196,4,98.0,88,13,Low,Clean
1142,2025-02-01,Fort Sentinel,BLDG-410,CONUS,PP Senior NCO,72113,100,56,44,56.0,59,17,High,Clean
1143,2025-02-01,Fort Sentinel,BLDG-411,CONUS,Training - Basic,72112,80,58,22,72.5,69,7,Medium,Clean
1144,2025-02-01,Fort Sentinel,BLDG-412,CONUS,PP Officer,72114,150,109,41,72.67,95,8,Medium,Clean
1145,2025-02-01,Camp Liberty,BLDG-501,CONUS,Permanent Party Enlisted,72111,150,116,34,77.33,57,19,Medium,Clean
1146,2025-02-01,Camp Liberty,BLDG-502,CONUS,Training - Basic,72112,100,76,24,76.0,72,9,Medium,Clean
1147,2025-02-01,Camp Liberty,BLDG-503,CONUS,Transient Training,72116,300,194,106,64.67,63,12,High,Clean
1148,2025-02-01,Camp Liberty,BLDG-504,CONUS,Transient Training,72116,300,226,74,75.33,85,9,Medium,Clean
1149,2025-02-01,Camp Liberty,BLDG-505,CONUS,PP Senior NCO,72113,150,137,13,91.33,97,2,Low,Clean
1150,2025-02-01,Camp Liberty,BLDG-506,CONUS,PP Senior NCO,72113,200,165,35,82.5,84,6,Medium,Clean
1151,2025-02-01,Camp Liberty,BLDG-507,CONUS,Transient Training,72116,80,73,7,91.25,96,10,Low,Clean
1152,2025-02-01,Camp Liberty,BLDG-508,CONUS,Permanent Party Enlisted,72111,80,66,14,82.5,76,14,Medium,Clean
1153,2025-02-01,Camp Liberty,BLDG-509,CONUS,Permanent Party Enlisted,72111,150,106,44,70.67,89,7,Medium,Clean
1154,2025-02-01,Camp Liberty,BLDG-510,CONUS,PP Senior NCO,99999,120,98,22,81.67,72,16,Medium,Invalid Category Code
1155,2025-02-01,Camp Liberty,BLDG-511,OCONUS,PP Senior NCO,72113,150,85,65,56.67,59,17,High,Clean
1156,2025-02-01,Camp Liberty,BLDG-512,CONUS,PP Senior NCO,72113,100,98,2,98.0,89,8,Low,Clean
1157,2025-02-01,Fort Patriot,BLDG-601,OCONUS,Permanent Party Enlisted,72111,100,77,23,77.0,70,16,Medium,Clean
1158,2025-02-01,Fort Patriot,BLDG-602,CONUS,Training - AIT,72115,250,199,51,79.6,68,17,Medium,Clean
1159,2025-02-01,Fort Patriot,BLDG-603,CONUS,PP Senior NCO,72113,80,57,23,71.25,55,18,Medium,Clean
1160,2025-02-01,Fort Patriot,BLDG-604,OCONUS,PP Senior NCO,72113,180,139,41,77.22,84,9,Medium,Clean
1161,2025-02-01,Fort Patriot,BLDG-605,CONUS,Training - Basic,72112,250,245,5,98.0,90,7,Low,Clean
1162,2025-02-01,Fort Patriot,BLDG-606,CONUS,Transient Training,72116,300,233,67,77.67,73,10,Medium,Clean
1163,2025-02-01,Fort Patriot,BLDG-607,CONUS,Training - AIT,72115,80,76,4,95.0,89,4,Low,Clean
1164,2025-02-01,Fort Patriot,BLDG-608,CONUS,Permanent Party Enlisted,72111,200,196,4,98.0,92,3,Low,Clean
1165,2025-02-01,Fort Patriot,BLDG-609,CONUS,PP Senior NCO,72113,120,91,29,75.83,87,10,Medium,Clean
1166,2025-02-01,Fort Patriot,BLDG-610,CONUS,Permanent Party Enlisted,72111,120,89,31,74.17,59,18,Medium,Clean
1167,2025-02-01,Fort Patriot,BLDG-611,CONUS,Transient Training,72116,150,147,3,98.0,91,6,Low,Clean
1168,2025-02-01,Fort Patriot,BLDG-612,CONUS,Training - AIT,72115,80,70,10,87.5,81,6,Low,Clean
1169,2025-02-01,Fort Eagle,BLDG-701,OCONUS,Transient Training,72116,200,179,21,89.5,68,17,Medium,Clean
1170,2025-02-01,Fort Eagle,BLDG-702,CONUS,Transient Training,72116,200,177,23,88.5,80,12,Low,Clean
1171,2025-02-01,Fort Eagle,BLDG-703,CONUS,Training - AIT,72115,180,116,64,64.44,59,15,High,Clean
1172,2025-02-01,Fort Eagle,BLDG-704,CONUS,Permanent Party Enlisted,72111,300,281,19,93.67,91,8,Low,Clean
1173,2025-02-01,Fort Eagle,BLDG-705,CONUS,Permanent Party Enlisted,72111,100,88,12,88.0,87,2,Low,Clean
1174,2025-02-01,Fort Eagle,BLDG-706,OCONUS,Training - Basic,72112,120,89,31,74.17,59,13,Medium,Clean
1175,2025-02-01,Fort Eagle,BLDG-707,CONUS,Training - AIT,72115,200,147,53,73.5,83,9,Medium,Clean
1176,2025-02-01,Fort Eagle,BLDG-708,CONUS,PP Officer,72114,180,130,50,72.22,96,10,Medium,Clean
1177,2025-02-01,Fort Eagle,BLDG-709,CONUS,PP Officer,72114,80,77,3,96.25,90,8,Low,Clean
1178,2025-02-01,Fort Eagle,BLDG-710,OCONUS,Training - Basic,72112,100,65,35,65.0,63,11,High,Clean
1179,2025-02-01,Fort Eagle,BLDG-711,OCONUS,Training - Basic,72112,100,86,14,86.0,90,0,Low,Clean
1180,2025-02-01,Fort Eagle,BLDG-712,CONUS,Training - AIT,72115,180,142,38,78.89,68,17,Medium,Clean
1181,2025-02-01,Fort Monroe,BLDG-801,CONUS,Transient Training,72116,200,175,25,87.5,95,5,Low,Clean
1182,2025-02-01,Fort Monroe,BLDG-802,CONUS,Training - Basic,72112,300,221,79,73.67,58,18,Medium,Clean
1183,2025-02-01,Fort Monroe,BLDG-803,OCONUS,Permanent Party Enlisted,72111,250,268,-18,107.2,57,17,Medium,Invalid Occupancy
1184,2025-02-01,Fort Monroe,BLDG-804,CONUS,Permanent Party Enlisted,72111,200,167,33,83.5,95,5,Medium,Clean
1185,2025-02-01,Fort Monroe,BLDG-805,CONUS,Training - Basic,72112,120,108,12,97.64,90,16,Medium,Incorrect Net Use Percent
1186,2025-02-01,Fort Monroe,BLDG-806,CONUS,Transient Training,72116,250,177,73,70.8,62,10,Medium,Clean
1187,2025-02-01,Fort Monroe,BLDG-807,CONUS,Permanent Party Enlisted,72111,120,88,32,73.33,78,1,Medium,Clean
1188,2025-02-01,Fort Monroe,BLDG-808,CONUS,PP Officer,72114,120,90,30,75.0,57,10,Medium,Clean
1189,2025-02-01,Fort Monroe,BLDG-809,OCONUS,Training - Basic,72112,200,118,82,59.0,57,7,High,Clean
1190,2025-02-01,Fort Monroe,BLDG-810,CONUS,Training - Basic,72112,150,120,30,80.0,97,10,Medium,Clean
1191,2025-02-01,Fort Monroe,BLDG-811,CONUS,Permanent Party Enlisted,72111,200,141,59,70.5,81,2,Medium,Clean
1192,2025-02-01,Fort Monroe,BLDG-812,OCONUS,PP Officer,72114,120,96,24,80.0,70,12,Medium,Clean
1193,2025-03-01,Fort Adams,BLDG-101,CONUS,Transient Training,72116,100,83,17,83.0,72,17,Medium,Clean
1194,2025-03-01,Fort Adams,BLDG-102,CONUS,Training - AIT,72115,150,110,40,73.33,61,9,Medium,Clean
1195,2025-03-01,Fort Adams,BLDG-103,CONUS,Transient Training,72116,100,70,30,70.0,57,19,Medium,Clean
1196,2025-03-01,Fort Adams,BLDG-104,CONUS,Permanent Party Enlisted,72111,100,81,19,81.0,87,2,Medium,Clean
1197,2025-03-01,Fort Adams,BLDG-105,CONUS,PP Officer,72114,80,78,2,97.5,96,5,Low,Clean
1198,2025-03-01,Fort Adams,BLDG-106,CONUS,Transient Training,72116,250,212,38,84.8,92,8,Medium,Clean
1199,2025-03-01,Fort Adams,BLDG-107,CONUS,Training - Basic,72112,80,69,11,86.25,65,16,Medium,Clean
1200,2025-03-01,Fort Adams,BLDG-108,CONUS,Transient Training,72116,250,179,71,71.6,64,18,Medium,Clean
1201,2025-03-01,Fort Adams,BLDG-109,CONUS,Training - AIT,72115,200,196,4,98.0,79,18,Medium,Clean
1202,2025-03-01,Fort Adams,BLDG-110,OCONUS,Permanent Party Enlisted,72111,200,192,8,96.0,93,2,Low,Clean
1203,2025-03-01,Fort Adams,BLDG-111,CONUS,Training - Basic,72112,80,78,2,97.5,89,3,Low,Clean
1204,2025-03-01,Fort Adams,BLDG-112,CONUS,Permanent Party Enlisted,72111,250,189,61,75.6,73,9,Medium,Clean
1205,2025-03-01,Fort Mason,BLDG-201,CONUS,Transient Training,72116,200,178,22,89.0,59,18,Medium,Clean
1206,2025-03-01,Fort Mason,BLDG-202,CONUS,Permanent Party Enlisted,72111,150,88,62,58.67,60,17,High,Clean
1207,2025-03-01,Fort Mason,BLDG-203,CONUS,Training - AIT,72115,100,90,10,90.0,84,8,Low,Clean
1208,2025-03-01,Fort Mason,BLDG-204,CONUS,Transient Training,99999,200,139,61,69.5,77,8,High,Invalid Category Code
1209,2025-03-01,Fort Mason,BLDG-205,CONUS,Training - AIT,72115,180,158,22,87.78,98,7,Low,Clean
1210,2025-03-01,Fort Mason,BLDG-206,CONUS,Transient Training,72116,100,70,30,70.0,65,18,Medium,Clean
1211,2025-03-01,Fort Mason,BLDG-207,CONUS,PP Officer,72114,150,110,40,73.33,79,3,Medium,Clean
1212,2025-03-01,Fort Mason,BLDG-208,CONUS,Training - Basic,72112,150,97,53,64.67,58,23,High,Clean
1213,2025-03-01,Fort Mason,BLDG-209,OCONUS,Training - AIT,72115,80,62,18,77.5,80,23,Medium,Clean
1214,2025-03-01,Fort Mason,BLDG-210,CONUS,Training - Basic,72112,100,93,7,93.0,91,2,Low,Clean
1215,2025-03-01,Fort Mason,BLDG-211,CONUS,Transient Training,72116,200,155,45,77.5,86,11,Medium,Clean
1216,2025-03-01,Fort Mason,BLDG-212,CONUS,PP Senior NCO,72113,300,188,112,62.67,63,27,High,Clean
1217,2025-03-01,Camp Harbor,BLDG-301,CONUS,Training - AIT,72115,180,133,47,73.89,82,14,Medium,Clean
1218,2025-03-01,Camp Harbor,,CONUS,PP Officer,72114,250,223,27,89.2,63,15,Low,Missing Building
1219,2025-03-01,Camp Harbor,BLDG-303,CONUS,PP Officer,72114,300,186,114,62.0,58,15,High,Clean
1220,2025-03-01,Camp Harbor,BLDG-304,CONUS,Permanent Party Enlisted,72111,120,115,5,95.83,98,11,Low,Clean
